mol_id,smiles
XS843049a,CC(NC(=O)NC=1C=CC=NC1)C2CC2
XS553610b,CC=1C=CC=CC1OC(C)C(=O)N2CCNCC2
XS842605b,COC(=O)C=1C=CC(=NN1)NC2C=CCCC2
XS838383b,COCC(C)NC=1C=NC(F)=CN1
XS843058a,CCC1CCCCN1C(=O)NC=2C=CC=C(C)C2
XS838585b,O=C1C=2SC=CC2C=NN1CC3CCOC3
XS843053a,CC1CCCN(C1)C=2N=CC=CC2C#N
XS842627b,CCC(C(N)=O)N1C=CC(=N1)C(F)(F)F
XS841147b,CCC(C)NS(=O)(=O)C=1C=CC=C(N)C1
XS843047a,O=C(CNCC1CCCO1)NC=2C=CC=CC2
XS843057a,COC=1N=CC=CC1NC(=O)C2CCC(=O)NC2
XS843046a,CC1CN(CCN1)C(=O)C=2C=CC=CC2F
XS843044a,CC=1C=C(CN2CCCC2CN3C=NC=N3)ON1
XS843055a,CCC(C)NS(=O)(=O)C=1C=NN(C)C1
XS843050a,CCC1=NSC(=N1)NC2CNC(=O)C2
XS843059a,O=C(NC=1C=CNN1)C2COC=3C=CC=CC3C2
XS843056a,COCC(C)NC(=O)NC=1C=CC=NC1OC
XS837873b,CC1=CC(C)=NC(=N1)N2CCSC(C)CC2
XS837370b,C=CC1CCCN1C=2N=CC=C3C=CC=NC23
XS838638b,C=C1CC1C(=O)NC=2C=CC=CC2C=3C=CN=CC3
XS843051a,CN1CCNCC1C2=NC(=NO2)C3CC3
XS843045a,NC(CNC(=O)C1=CC=2C=CC=CC2O1)C3CC3
XS837376b,CCC(C)C=1C=CC(=CC1)NCCC2=NN=NN2
XS843052a,CC(NC=1N=CC=C(N1)C=2C=NC=CN2)C3CC3
XS843054a,COC(=O)C1CC(=O)N(C1)C=2C=CC=CC2
XS441021b,CC1=NN(C)C(C)=C1C(=O)NC2COC=3C=CC=CC32
XS843065a,CN1N=CC2=C1CCCC2NC(=O)C=3C=CC(O)=NC3
XS838024b,COCCN(CCOC)C(=O)C#CC1CCCCO1
XS839968b,CC1=NN=C(CN(C)C(C)CC=2C=CSC2)O1
XS843060a,O=C(CC=1C=CC=NC1)NC(CO)C=2C=CC=CC2
XS165904c,N#CC=1C=CC(=NC1)NCC(CO)CC2=CC=CO2
XS841996b,C#CC(C)N(C)C(=O)NCC1(CC1)C=2C=CC=CC2C
XS839514b,O=C(N1CC=2C=CC=CC2CO1)C3(O)CCSC3
XS837495b,O=C(C1CCSC1)N2CCN(CC2)C=3C=NNC3
