,SGC ID for Component,Comp Acc Mass,mz,SMILES,IA,IA_Peak1,IA_Peak2,IA_Rs,IA_ΔRT,IA_Mean RT,k1,k2,IA_α,IB,IB_Peak1,IB_Peak2,IB_Rs,IB_ΔRT,IB_Mean RT,k1,k2,IB_α,IC,IC_Peak1,IC_Peak2,IC_Rs,IC_ΔRT,IC_Mean RT,k1,k2,IC_α,IG,IG_Peak1,IG_Peak2,IG_Rs,IG_ΔRT,IG_Mean RT,k1,k2,IG_α
1,XS843049a,205.1215121,206.1287971,CC(NC(=O)NC=1C=CC=NC1)C2CC2,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
2,XS553610b,248.1524779,249.1597629,CC=1C=CC=CC1OC(C)C(=O)N2CCNCC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
3,XS842605b,233.1164267,234.1237117,COC(=O)C=1C=CC(=NN1)NC2C=CCCC2,GREEN,12.736,13.722,1.972,0.986,13.229,24.472,26.444,1.08058189,single,,,,,,,,,single,,,,,,,,,GREEN,16.944,17.385,0.882,0.441,17.1645,32.888,33.77,1.026818292
4,XS838383b,185.0964402,186.1037252,COCC(C)NC=1C=NC(F)=CN1,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,,GREEN,10.946,11.304,0.716,0.358,11.125,20.892,21.608,1.034271491
5,XS843058a,246.1732133,247.1804983,CCC1CCCCN1C(=O)NC=2C=CC=C(C)C2,GREEN,11.031,11.327,0.592,0.296,11.179,21.062,21.654,1.028107492,GREEN,10.722,11.142,0.84,0.42,10.932,20.444,21.284,1.04108785,single,,,,,,,,,GREEN,13.832,14.512,1.36,0.68,14.172,26.664,28.024,1.051005101
6,XS838585b,236.0619486,237.0692336,O=C1C=2SC=CC2C=NN1CC3CCOC3,GREEN,11.117,11.366,0.498,0.249,11.2415,21.234,21.732,1.023452953,single,,,,,,,,,GREEN,16.045,16.796,1.502,0.751,16.4205,31.09,33.592,1.080476037,GREEN,17.958,18.409,0.902,0.451,18.1835,34.916,35.818,1.025833429
7,XS843053a,201.1265975,202.1338825,CC1CCCN(C1)C=2N=CC=CC2C#N,GREEN,13.061,13.837,1.552,0.776,13.449,25.122,26.674,1.061778521,single,,,,,,,,,single,,,,,,,,,GREEN,16.233,17.728,2.99,1.495,16.9805,31.466,34.456,1.0950232
8,XS842627b,221.0775966,222.0848816,CCC(C(N)=O)N1C=CC(=N1)C(F)(F)F,GREEN,6.706,6.968,0.524,0.262,6.837,12.412,12.936,1.042217209,GREEN,6.545,6.739,0.388,0.194,6.642,12.09,12.478,1.032092639,check,,,,,,,,,GREEN,6.403,7.45,2.094,1.047,6.9265,11.806,13.9,1.17736744
9,XS841147b,228.0932488,229.1005338,CCC(C)NS(=O)(=O)C=1C=CC=C(N)C1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
10,XS843047a,234.1368278,235.1441128,O=C(CNCC1CCCO1)NC=2C=CC=CC2,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,,GREEN,4.324,4.923,1.198,0.599,4.6235,7.648,8.846,1.156642259
