mol_id,smiles,stage1_label,scaffold
XS553610b,CC=1C=CC=CC1OC(C)C(=O)N2CCNCC2,0,O=C(COc1ccccc1)N1CCNCC1
XS842605b,COC(=O)C=1C=CC(=NN1)NC2C=CCCC2,1,C1=CC(Nc2cccnn2)CCC1
XS838383b,COCC(C)NC=1C=NC(F)=CN1,0,c1cnccn1
XS843058a,CCC1CCCCN1C(=O)NC=2C=CC=C(C)C2,1,O=C(Nc1ccccc1)N1CCCCC1
XS838585b,O=C1C=2SC=CC2C=NN1CC3CCOC3,1,O=c1c2sccc2cnn1CC1CCOC1
XS843053a,CC1CCCN(C1)C=2N=CC=CC2C#N,1,c1ccc(N2CCCCC2)nc1
XS842627b,CCC(C(N)=O)N1C=CC(=N1)C(F)(F)F,1,c1cn[nH]c1
XS841147b,CCC(C)NS(=O)(=O)C=1C=CC=C(N)C1,0,c1ccccc1
XS843047a,O=C(CNCC1CCCO1)NC=2C=CC=CC2,0,O=C(CNCC1CCCO1)Nc1ccccc1
XS843057a,COC=1N=CC=CC1NC(=O)C2CCC(=O)NC2,0,O=C1CCC(C(=O)Nc2cccnc2)CN1
XS843046a,CC1CN(CCN1)C(=O)C=2C=CC=CC2F,0,O=C(c1ccccc1)N1CCNCC1
XS843055a,CCC(C)NS(=O)(=O)C=1C=NN(C)C1,0,c1cn[nH]c1
XS843050a,CCC1=NSC(=N1)NC2CNC(=O)C2,1,O=C1CC(Nc2ncns2)CN1
XS843059a,O=C(NC=1C=CNN1)C2COC=3C=CC=CC3C2,1,O=C(Nc1cc[nH]n1)C1COc2ccccc2C1
XS843056a,COCC(C)NC(=O)NC=1C=CC=NC1OC,0,c1ccncc1
XS837370b,C=CC1CCCN1C=2N=CC=C3C=CC=NC23,1,c1cnc2c(N3CCCC3)nccc2c1
XS838638b,C=C1CC1C(=O)NC=2C=CC=CC2C=3C=CN=CC3,0,C=C1CC1C(=O)Nc1ccccc1-c1ccncc1
XS843051a,CN1CCNCC1C2=NC(=NO2)C3CC3,0,C1CNC(c2nc(C3CC3)no2)CN1
XS843045a,NC(CNC(=O)C1=CC=2C=CC=CC2O1)C3CC3,0,O=C(NCCC1CC1)c1cc2ccccc2o1
XS843052a,CC(NC=1N=CC=C(N1)C=2C=NC=CN2)C3CC3,1,c1cnc(-c2ccnc(NCC3CC3)n2)cn1
XS843054a,COC(=O)C1CC(=O)N(C1)C=2C=CC=CC2,1,O=C1CCCN1c1ccccc1
XS441021b,CC1=NN(C)C(C)=C1C(=O)NC2COC=3C=CC=CC32,1,O=C(NC1COc2ccccc21)c1cn[nH]c1
XS843065a,CN1N=CC2=C1CCCC2NC(=O)C=3C=CC(O)=NC3,0,O=C(NC1CCCc2[nH]ncc21)c1cccnc1
XS838024b,COCCN(CCOC)C(=O)C#CC1CCCCO1,0,C1CCOCC1
XS843060a,O=C(CC=1C=CC=NC1)NC(CO)C=2C=CC=CC2,0,O=C(Cc1cccnc1)NCc1ccccc1
XS165904c,N#CC=1C=CC(=NC1)NCC(CO)CC2=CC=CO2,1,c1ccc(NCCCc2ccco2)nc1
XS841996b,C#CC(C)N(C)C(=O)NCC1(CC1)C=2C=CC=CC2C,1,c1ccc(C2CC2)cc1
XS843062a,CN1N=CC=2C(=NC=NC21)NC3CCC=4C=CC=CC43,1,c1ccc2c(c1)CCC2Nc1ncnc2[nH]ncc12
XS841943b,CC1(C)CNC(=O)C1NCC=2C=CC3=NON=C3C2,1,O=C1NCCC1NCc1ccc2nonc2c1
XS779015b,COC=1C=CC=C(C1)CNC(=O)C2CCC(=O)NC2,0,O=C1CCC(C(=O)NCc2ccccc2)CN1
XS840220b,CC1=NN=C(O1)C(C)N(C)CCC2=NC=CS2,1,c1csc(CCNCc2nnco2)n1
XS843064a,CC(CO)NC(=O)C=1SC=2C=CC=CC2C1Cl,0,c1ccc2sccc2c1
XS778741b,NC1(CNC(=O)C2CC=3C=CC=CC32)CCCCC1,0,O=C(NCC1CCCCC1)C1Cc2ccccc21
XS820591b,CC=1C=CC(=CC1)NC(=O)NC(CO)C=2C=CC=CC2,0,O=C(NCc1ccccc1)Nc1ccccc1
XS836600b,CC1CN(CCO1)C(=O)NCCCN2C=NC=N2,0,O=C(NCCCn1cncn1)N1CCOCC1
XS843067a,CC(C(=O)NC=1C=CC(Cl)=CC1)S(C)(=O)=O,1,c1ccccc1
XS839908b,N#CC1CN(CCN1C2CC2)C(=O)CC3=CC=CO3,1,O=C(Cc1ccco1)N1CCN(C2CC2)CC1
XS840844b,CC=CCS(=O)(=O)C(C)C1=NC(=NO1)C(C)C,1,c1ncon1
XS837046b,O=C(NC1=NC=2SC=CC2S1)C3CC=CCC3,1,O=C(Nc1nc2sccc2s1)C1CC=CCC1
XS843061a,NC(=O)C1(O)CCCN(C1)C=2C=CC(Cl)=CN2,1,c1ccc(N2CCCCC2)nc1
XS600746b,ClC=1C=CC(=CC1)C2=NOC(=N2)C3CCCNC3,1,c1ccc(-c2noc(C3CCCNC3)n2)cc1
XS843066a,CC1CCCN(C1)C(=O)NC=2C=CC(=CC2)C(N)=O,0,O=C(Nc1ccccc1)N1CCCCC1
XS061098d,CC1CC=2C=CC=CC2N1C(=O)C=3C=C(Cl)C=CN3,1,O=C(c1ccccn1)N1CCc2ccccc21
XS843077a,CC=1C=CC(=CN1)CNC(=O)C2COC=3C=CC=CC3C2,1,O=C(NCc1cccnc1)C1COc2ccccc2C1
XS843073a,CNC=1N=C(C)C=C(N1)C(=O)NC(C)C2CCOCC2,0,O=C(NCC1CCOCC1)c1ccncn1
XS843078a,NC(=O)NC(=O)C(C=1C=CC=CC1)N2CCCCCC2,0,c1ccc(CN2CCCCCC2)cc1
XS843071a,CCC(C)(NC(=O)C=1C=C(C)N=CN1)C2=NC=CS2,0,O=C(NCc1nccs1)c1ccncn1
XS843069a,CC1C=2C=CSC2CCN1C(=O)C=3C=CC(C#N)=CC3,1,O=C(c1ccccc1)N1CCc2sccc2C1
XS840076b,CC(C1=NN=NN1C)N2C=CC(=CC2=O)C(F)(F)F,1,O=c1ccccn1Cc1nnn[nH]1
XS841983b,CC1=CCC(CC1)NC(=O)C2(CC3(CCC3)C2)C(=O)O,0,O=C(NC1CC=CCC1)C1CC2(CCC2)C1
XS838263b,CC=1CC(C=2C=CC=CC2)N(N1)C=3C=CC(=CC3)[N+]([O-])=O,1,C1=NN(c2ccccc2)C(c2ccccc2)C1
XS843070a,O=C(O)C1CN(CC=2C=CC=CC21)C(=O)C3CCCC3,0,O=C(C1CCCC1)N1CCc2ccccc2C1
XS716684b,CC=1N=CN(CC(O)COC=2C=CC=CC2)C(=O)C1C,1,O=c1ccncn1CCCOc1ccccc1
XS843074a,CCC(C)NC(=O)COC=1C=C(C=CC1C(N)=O)OC,0,c1ccccc1
XS843082a,CCN(CC(C)C#N)C(=O)CCN1C=CC=2C=CC=CC21,0,c1ccc2[nH]ccc2c1
XS843075a,CC(NC(=O)N(C)CC=1C=NN(C)C1)C2=CC=CS2,0,O=C(NCc1cn[nH]c1)NCc1cccs1
XS843083a,CC(SCC(=O)NC(N)=O)C=1C(F)=CC=CC1F,1,c1ccccc1
XS843081a,CCC(C)(C#N)NC(=O)C=1C=CC=C(C1)S(C)(=O)=O,0,c1ccccc1
XS836485b,CCN1C=CN=C(C1=O)N2CCC(O)(C2)C(F)(F)F,0,O=c1[nH]ccnc1N1CCCC1
XS390381b,O=C1NCCCCC1NCC=2C=CC=3OCCOC3C2,0,O=C1NCCCCC1NCc1ccc2c(c1)OCCO2
XS843076a,O=C(NCC1=CC=CO1)C2CCCN2CC=3C=CC=CC3,0,O=C(NCc1ccco1)C1CCCN1Cc1ccccc1
XS843079a,CC(C)C1=CC(=NN1)C(=O)NC2CCOC=3C=CC=CC32,1,O=C(NC1CCOc2ccccc21)c1cc[nH]n1
