mol_id,smiles,rs,scaffold
XS842605b,COC(=O)C=1C=CC(=NN1)NC2C=CCCC2,1.972,C1=CC(Nc2cccnn2)CCC1
XS843058a,CCC1CCCCN1C(=O)NC=2C=CC=C(C)C2,0.592,O=C(Nc1ccccc1)N1CCCCC1
XS838585b,O=C1C=2SC=CC2C=NN1CC3CCOC3,0.498,O=c1c2sccc2cnn1CC1CCOC1
XS843053a,CC1CCCN(C1)C=2N=CC=CC2C#N,1.552,c1ccc(N2CCCCC2)nc1
XS842627b,CCC(C(N)=O)N1C=CC(=N1)C(F)(F)F,0.524,c1cn[nH]c1
XS843050a,CCC1=NSC(=N1)NC2CNC(=O)C2,1.318,O=C1CC(Nc2ncns2)CN1
XS843059a,O=C(NC=1C=CNN1)C2COC=3C=CC=CC3C2,1.05,O=C(Nc1cc[nH]n1)C1COc2ccccc2C1
XS837370b,C=CC1CCCN1C=2N=CC=C3C=CC=NC23,0.72,c1cnc2c(N3CCCC3)nccc2c1
XS843052a,CC(NC=1N=CC=C(N1)C=2C=NC=CN2)C3CC3,1.076,c1cnc(-c2ccnc(NCC3CC3)n2)cn1
XS843054a,COC(=O)C1CC(=O)N(C1)C=2C=CC=CC2,1.666,O=C1CCCN1c1ccccc1
XS441021b,CC1=NN(C)C(C)=C1C(=O)NC2COC=3C=CC=CC32,0.906,O=C(NC1COc2ccccc21)c1cn[nH]c1
XS165904c,N#CC=1C=CC(=NC1)NCC(CO)CC2=CC=CO2,1.804,c1ccc(NCCCc2ccco2)nc1
XS841996b,C#CC(C)N(C)C(=O)NCC1(CC1)C=2C=CC=CC2C,0.536,c1ccc(C2CC2)cc1
XS843062a,CN1N=CC=2C(=NC=NC21)NC3CCC=4C=CC=CC43,2.2,c1ccc2c(c1)CCC2Nc1ncnc2[nH]ncc12
XS841943b,CC1(C)CNC(=O)C1NCC=2C=CC3=NON=C3C2,1.63,O=C1NCCC1NCc1ccc2nonc2c1
XS840220b,CC1=NN=C(O1)C(C)N(C)CCC2=NC=CS2,0.502,c1csc(CCNCc2nnco2)n1
XS843067a,CC(C(=O)NC=1C=CC(Cl)=CC1)S(C)(=O)=O,0.438,c1ccccc1
XS839908b,N#CC1CN(CCN1C2CC2)C(=O)CC3=CC=CO3,1.454,O=C(Cc1ccco1)N1CCN(C2CC2)CC1
XS840844b,CC=CCS(=O)(=O)C(C)C1=NC(=NO1)C(C)C,0.44,c1ncon1
XS837046b,O=C(NC1=NC=2SC=CC2S1)C3CC=CCC3,3.76,O=C(Nc1nc2sccc2s1)C1CC=CCC1
XS843061a,NC(=O)C1(O)CCCN(C1)C=2C=CC(Cl)=CN2,32.104,c1ccc(N2CCCCC2)nc1
XS600746b,ClC=1C=CC(=CC1)C2=NOC(=N2)C3CCCNC3,0.782,c1ccc(-c2noc(C3CCCNC3)n2)cc1
