mol_id,smiles,rs,scaffold
XS843058a,CCC1CCCCN1C(=O)NC=2C=CC=C(C)C2,0.84,O=C(Nc1ccccc1)N1CCCCC1
XS842627b,CCC(C(N)=O)N1C=CC(=N1)C(F)(F)F,0.388,c1cn[nH]c1
XS843059a,O=C(NC=1C=CNN1)C2COC=3C=CC=CC3C2,0.682,O=C(Nc1cc[nH]n1)C1COc2ccccc2C1
XS843054a,COC(=O)C1CC(=O)N(C1)C=2C=CC=CC2,1.236,O=C1CCCN1c1ccccc1
XS441021b,CC1=NN(C)C(C)=C1C(=O)NC2COC=3C=CC=CC32,0.536,O=C(NC1COc2ccccc21)c1cn[nH]c1
XS843065a,CN1N=CC2=C1CCCC2NC(=O)C=3C=CC(O)=NC3,0.768,O=C(NC1CCCc2[nH]ncc21)c1cccnc1
XS841996b,C#CC(C)N(C)C(=O)NCC1(CC1)C=2C=CC=CC2C,0.822,c1ccc(C2CC2)cc1
XS839514b,O=C(N1CC=2C=CC=CC2CO1)C3(O)CCSC3,0.536,O=C(C1CCSC1)N1Cc2ccccc2CO1
XS843063a,CC(NC(=O)C=1C=CC=CC1)C(=O)NC=2C=CC=CC2,5.68,O=C(CNC(=O)c1ccccc1)Nc1ccccc1
XS843062a,CN1N=CC=2C(=NC=NC21)NC3CCC=4C=CC=CC43,3.752,c1ccc2c(c1)CCC2Nc1ncnc2[nH]ncc12
XS779015b,COC=1C=CC=C(C1)CNC(=O)C2CCC(=O)NC2,2.122,O=C1CCC(C(=O)NCc2ccccc2)CN1
XS820591b,CC=1C=CC(=CC1)NC(=O)NC(CO)C=2C=CC=CC2,0.398,O=C(NCc1ccccc1)Nc1ccccc1
XS843067a,CC(C(=O)NC=1C=CC(Cl)=CC1)S(C)(=O)=O,0.606,c1ccccc1
XS839908b,N#CC1CN(CCN1C2CC2)C(=O)CC3=CC=CO3,0.97,O=C(Cc1ccco1)N1CCN(C2CC2)CC1
XS061098d,CC1CC=2C=CC=CC2N1C(=O)C=3C=C(Cl)C=CN3,0.846,O=C(c1ccccn1)N1CCc2ccccc21
XS843073a,CNC=1N=C(C)C=C(N1)C(=O)NC(C)C2CCOCC2,0.382,O=C(NCC1CCOCC1)c1ccncn1
XS843071a,CCC(C)(NC(=O)C=1C=C(C)N=CN1)C2=NC=CS2,1.656,O=C(NCc1nccs1)c1ccncn1
XS552967b,CCC1CN(C(=O)C=2OC(C)=NC2C)C=3C=CC=CC3O1,0.556,O=C(c1cnco1)N1CCOc2ccccc21
XS838263b,CC=1CC(C=2C=CC=CC2)N(N1)C=3C=CC(=CC3)[N+]([O-])=O,1.872,C1=NN(c2ccccc2)C(c2ccccc2)C1
XS843084a,CC(NC(=O)C1=NNC(=O)C=2C=CC=CC12)C3=CC=CO3,0.438,O=C(NCc1ccco1)c1n[nH]c(=O)c2ccccc12
XS716684b,CC=1N=CN(CC(O)COC=2C=CC=CC2)C(=O)C1C,0.702,O=c1ccncn1CCCOc1ccccc1
XS393537b,O=C(O)CC(NC(=O)C1CCCC1)C=2C=CC(F)=CC2,0.382,O=C(NCc1ccccc1)C1CCCC1
XS838593b,COCC1=NSC(CN2CC(C)C=3C=CC=CC32)=N1,0.462,c1ccc2c(c1)CCN2Cc1ncns1
XS837307b,CN1CCC(OC(=O)C=2C=NNC2C3=CC=CS3)C1=O,1.426,O=C(OC1CCNC1=O)c1cn[nH]c1-c1cccs1
XS546353b,CC(NC(=O)NC1=NC(=NS1)C=2C=CC=CC2)C3CC3,0.664,O=C(NCC1CC1)Nc1nc(-c2ccccc2)ns1
XS843094a,CC(C)OC=1C=CC(=CC1)C=2C=CC(=CC2)C3COC(=O)N3,2.952,O=C1NC(c2ccc(-c3ccccc3)cc2)CO1
XS758413b,CN1N=CC2=C1CCCC2NC(=O)C3=CC=4C=CC=CC4N3,1.384,O=C(NC1CCCc2[nH]ncc21)c1cc2ccccc2[nH]1
XS599656b,CC(CNC(=O)C=1C=CC2=NC=CN=C2C1)C=3C=CC=CC3,0.588,O=C(NCCc1ccccc1)c1ccc2nccnc2c1
XS838415b,CC(C1=CC=CS1)C2=NOC(=N2)C3=CC=NN4C=CN=C34,0.66,c1csc(Cc2noc(-c3ccnn4ccnc34)n2)c1
XS746901b,CC1=CSC(=N1)C2COCCN2CC=3C=CC=C(O)C3,0.572,c1ccc(CN2CCOCC2c2nccs2)cc1
XS677064b,CC1=CC=C(O1)C(=O)N2CCCC(O)(CN3C=CN=N3)C2,0.404,O=C(c1ccco1)N1CCCC(Cn2ccnn2)C1
XS843095a,O=C1CCC(N1)C=2C=CC(=CC2)C3=NNC=4C=CC=C(F)C34,0.398,O=C1CCC(c2ccc(-c3n[nH]c4ccccc34)cc2)N1
XS843107a,CN1C=CC(=C1)C(=O)N2CCCCC2C=3NN=CC3C(N)=O,0.464,O=C(c1cc[nH]c1)N1CCCCC1c1ccn[nH]1
XS843099a,CC1=CC(C)=NN1C2CCCN(C2)C(=O)CC3=CC=CS3,1.56,O=C(Cc1cccs1)N1CCCC(n2cccn2)C1
XS843103a,CC=1C=CC=C(C1)NC(=O)NC2CCSC=3C=CC=CC32,0.682,O=C(Nc1ccccc1)NC1CCSc2ccccc21
XS843104a,O=C(NC1CCCCNC1=O)C=2N=CC=CC2C(F)(F)F,1.7,O=C(NC1CCCCNC1=O)c1ccccn1
DR000792b,CC(C)CC1CCN(C1)C(=O)C=2C=CC(=CC2)N3C=CN=N3,1.398,O=C(c1ccc(-n2ccnn2)cc1)N1CCCC1
XS843106a,CN1N=NC=C1CC(=O)N2CCCC2C=3C=CC(Cl)=CC3,0.608,O=C(Cc1cnn[nH]1)N1CCCC1c1ccccc1
XS702260b,CCC1=NC(CN2C(=O)CC(C)(C2=O)C=3C=CC=CC3)=NO1,1.624,O=C1CC(c2ccccc2)C(=O)N1Cc1ncon1
XS843118a,O=C(NC1CCCC2=C1C=NN2CC=3C=CC=CC3)N4CCC4,1.314,O=C(NC1CCCc2c1cnn2Cc1ccccc1)N1CCC1
XS843119a,O=C(CC1=CNC=2C=CC=CC12)N3CCCC(C3)C(F)(F)F,4.696,O=C(Cc1c[nH]c2ccccc12)N1CCCCC1
