mol_id,smiles,rs,scaffold
XS838585b,O=C1C=2SC=CC2C=NN1CC3CCOC3,1.502,O=c1c2sccc2cnn1CC1CCOC1
XS843057a,COC=1N=CC=CC1NC(=O)C2CCC(=O)NC2,0.484,O=C1CCC(C(=O)Nc2cccnc2)CN1
XS843056a,COCC(C)NC(=O)NC=1C=CC=NC1OC,0.814,c1ccncc1
XS843054a,COC(=O)C1CC(=O)N(C1)C=2C=CC=CC2,1.69,O=C1CCCN1c1ccccc1
XS441021b,CC1=NN(C)C(C)=C1C(=O)NC2COC=3C=CC=CC32,0.748,O=C(NC1COc2ccccc21)c1cn[nH]c1
XS843065a,CN1N=CC2=C1CCCC2NC(=O)C=3C=CC(O)=NC3,1.108,O=C(NC1CCCc2[nH]ncc21)c1cccnc1
XS838024b,COCCN(CCOC)C(=O)C#CC1CCCCO1,0.388,C1CCOCC1
XS839514b,O=C(N1CC=2C=CC=CC2CO1)C3(O)CCSC3,0.68,O=C(C1CCSC1)N1Cc2ccccc2CO1
XS837495b,O=C(C1CCSC1)N2CCN(CC2)C=3C=NNC3,0.452,O=C(C1CCSC1)N1CCN(c2cn[nH]c2)CC1
XS843062a,CN1N=CC=2C(=NC=NC21)NC3CCC=4C=CC=CC43,2.424,c1ccc2c(c1)CCC2Nc1ncnc2[nH]ncc12
XS779015b,COC=1C=CC=C(C1)CNC(=O)C2CCC(=O)NC2,0.894,O=C1CCC(C(=O)NCc2ccccc2)CN1
XS820591b,CC=1C=CC(=CC1)NC(=O)NC(CO)C=2C=CC=CC2,0.67,O=C(NCc1ccccc1)Nc1ccccc1
XS839908b,N#CC1CN(CCN1C2CC2)C(=O)CC3=CC=CO3,0.856,O=C(Cc1ccco1)N1CCN(C2CC2)CC1
XS843061a,NC(=O)C1(O)CCCN(C1)C=2C=CC(Cl)=CN2,0.902,c1ccc(N2CCCCC2)nc1
XS843073a,CNC=1N=C(C)C=C(N1)C(=O)NC(C)C2CCOCC2,3.426,O=C(NCC1CCOCC1)c1ccncn1
XS843071a,CCC(C)(NC(=O)C=1C=C(C)N=CN1)C2=NC=CS2,3.27,O=C(NCc1nccs1)c1ccncn1
XS840076b,CC(C1=NN=NN1C)N2C=CC(=CC2=O)C(F)(F)F,0.462,O=c1ccccn1Cc1nnn[nH]1
XS552967b,CCC1CN(C(=O)C=2OC(C)=NC2C)C=3C=CC=CC3O1,0.982,O=C(c1cnco1)N1CCOc2ccccc21
XS843080a,COC=1C=CC(C)=CC1S(=O)(=O)NCC2CCCO2,1.702,O=S(=O)(NCC1CCCO1)c1ccccc1
XS843070a,O=C(O)C1CN(CC=2C=CC=CC21)C(=O)C3CCCC3,0.428,O=C(C1CCCC1)N1CCc2ccccc2C1
XS716684b,CC=1N=CN(CC(O)COC=2C=CC=CC2)C(=O)C1C,0.41,O=c1ccncn1CCCOc1ccccc1
XS838593b,COCC1=NSC(CN2CC(C)C=3C=CC=CC32)=N1,0.624,c1ccc2c(c1)CCN2Cc1ncns1
XS837307b,CN1CCC(OC(=O)C=2C=NNC2C3=CC=CS3)C1=O,0.68,O=C(OC1CCNC1=O)c1cn[nH]c1-c1cccs1
XS843094a,CC(C)OC=1C=CC(=CC1)C=2C=CC(=CC2)C3COC(=O)N3,2.952,O=C1NC(c2ccc(-c3ccccc3)cc2)CO1
XS758413b,CN1N=CC2=C1CCCC2NC(=O)C3=CC=4C=CC=CC4N3,0.466,O=C(NC1CCCc2[nH]ncc21)c1cc2ccccc2[nH]1
XS672689b,O=C(C=1C=CC=NC1O)N2CCCC2CCC=3C=CC=CC3,3.14,O=C(c1cccnc1)N1CCCC1CCc1ccccc1
XS843092a,O=C(NC1CCCCNC1=O)C2=CSC=3CCCCC23,0.8,O=C(NC1CCCCNC1=O)c1csc2c1CCCC2
XS843086a,CC(=O)N1CCCN(CC1)C(=O)C2COC=3C=CC=CC32,6.844,O=C(C1COc2ccccc21)N1CCCNCC1
XS840670b,O=C(NC=1C=NNC1)C2CC(=NO2)C3=CC=C(Cl)S3,11.912,O=C(Nc1cn[nH]c1)C1CC(c2cccs2)=NO1
XS746901b,CC1=CSC(=N1)C2COCCN2CC=3C=CC=C(O)C3,0.54,c1ccc(CN2CCOCC2c2nccs2)cc1
XS843095a,O=C1CCC(N1)C=2C=CC(=CC2)C3=NNC=4C=CC=C(F)C34,0.552,O=C1CCC(c2ccc(-c3n[nH]c4ccccc34)cc2)N1
XS843091a,O=C1NCCCCC1SC2=NC(=CN2)C=3C=CC=CC3,0.76,O=C1NCCCCC1Sc1nc(-c2ccccc2)c[nH]1
XS843107a,CN1C=CC(=C1)C(=O)N2CCCCC2C=3NN=CC3C(N)=O,1.63,O=C(c1cc[nH]c1)N1CCCCC1c1ccn[nH]1
XS838057b,CCOC(=O)C1=COC(=N1)NC2COC=3C=C(C#N)C=CC32,0.488,c1ccc2c(c1)OCC2Nc1ncco1
XS843099a,CC1=CC(C)=NN1C2CCCN(C2)C(=O)CC3=CC=CS3,1.836,O=C(Cc1cccs1)N1CCCC(n2cccn2)C1
XS843104a,O=C(NC1CCCCNC1=O)C=2N=CC=CC2C(F)(F)F,1.264,O=C(NC1CCCCNC1=O)c1ccccn1
DR000792b,CC(C)CC1CCN(C1)C(=O)C=2C=CC(=CC2)N3C=CN=N3,0.742,O=C(c1ccc(-n2ccnn2)cc1)N1CCCC1
XS843108a,CC(C)C(C)(C#N)NC(=O)CN(CC=1C=CC=CC1)C2CC2,1.708,c1ccc(CNC2CC2)cc1
