mol_id,smiles,rs,scaffold
XS842605b,COC(=O)C=1C=CC(=NN1)NC2C=CCCC2,0.882,C1=CC(Nc2cccnn2)CCC1
XS838383b,COCC(C)NC=1C=NC(F)=CN1,0.716,c1cnccn1
XS843058a,CCC1CCCCN1C(=O)NC=2C=CC=C(C)C2,1.36,O=C(Nc1ccccc1)N1CCCCC1
XS838585b,O=C1C=2SC=CC2C=NN1CC3CCOC3,0.902,O=c1c2sccc2cnn1CC1CCOC1
XS843053a,CC1CCCN(C1)C=2N=CC=CC2C#N,2.99,c1ccc(N2CCCCC2)nc1
XS842627b,CCC(C(N)=O)N1C=CC(=N1)C(F)(F)F,2.094,c1cn[nH]c1
XS843047a,O=C(CNCC1CCCO1)NC=2C=CC=CC2,1.198,O=C(CNCC1CCCO1)Nc1ccccc1
XS843050a,CCC1=NSC(=N1)NC2CNC(=O)C2,4.136,O=C1CC(Nc2ncns2)CN1
XS843056a,COCC(C)NC(=O)NC=1C=CC=NC1OC,0.94,c1ccncc1
XS837873b,CC1=CC(C)=NC(=N1)N2CCSC(C)CC2,1.5,c1cnc(N2CCCSCC2)nc1
XS837370b,C=CC1CCCN1C=2N=CC=C3C=CC=NC23,0.698,c1cnc2c(N3CCCC3)nccc2c1
XS837376b,CCC(C)C=1C=CC(=CC1)NCCC2=NN=NN2,0.784,c1ccc(NCCc2nnn[nH]2)cc1
XS843052a,CC(NC=1N=CC=C(N1)C=2C=NC=CN2)C3CC3,0.478,c1cnc(-c2ccnc(NCC3CC3)n2)cn1
XS843054a,COC(=O)C1CC(=O)N(C1)C=2C=CC=CC2,1.816,O=C1CCCN1c1ccccc1
XS441021b,CC1=NN(C)C(C)=C1C(=O)NC2COC=3C=CC=CC32,2.698,O=C(NC1COc2ccccc21)c1cn[nH]c1
XS843065a,CN1N=CC2=C1CCCC2NC(=O)C=3C=CC(O)=NC3,1.306,O=C(NC1CCCc2[nH]ncc21)c1cccnc1
XS838024b,COCCN(CCOC)C(=O)C#CC1CCCCO1,3.622,C1CCOCC1
XS839968b,CC1=NN=C(CN(C)C(C)CC=2C=CSC2)O1,0.658,c1nnc(CNCCc2ccsc2)o1
XS843060a,O=C(CC=1C=CC=NC1)NC(CO)C=2C=CC=CC2,1.664,O=C(Cc1cccnc1)NCc1ccccc1
XS165904c,N#CC=1C=CC(=NC1)NCC(CO)CC2=CC=CO2,2.516,c1ccc(NCCCc2ccco2)nc1
XS841996b,C#CC(C)N(C)C(=O)NCC1(CC1)C=2C=CC=CC2C,1.036,c1ccc(C2CC2)cc1
XS839514b,O=C(N1CC=2C=CC=CC2CO1)C3(O)CCSC3,1.54,O=C(C1CCSC1)N1Cc2ccccc2CO1
XS837495b,O=C(C1CCSC1)N2CCN(CC2)C=3C=NNC3,4.412,O=C(C1CCSC1)N1CCN(c2cn[nH]c2)CC1
XS843062a,CN1N=CC=2C(=NC=NC21)NC3CCC=4C=CC=CC43,2.42,c1ccc2c(c1)CCC2Nc1ncnc2[nH]ncc12
XS841943b,CC1(C)CNC(=O)C1NCC=2C=CC3=NON=C3C2,4.892,O=C1NCCC1NCc1ccc2nonc2c1
XS840220b,CC1=NN=C(O1)C(C)N(C)CCC2=NC=CS2,1.512,c1csc(CCNCc2nnco2)n1
XS838498b,CC(C(=O)NC1=NNC=2C=CC=NC12)C=3C=CC=NC3,11.572,O=C(Cc1cccnc1)Nc1n[nH]c2cccnc12
XS820591b,CC=1C=CC(=CC1)NC(=O)NC(CO)C=2C=CC=CC2,1.254,O=C(NCc1ccccc1)Nc1ccccc1
XS843067a,CC(C(=O)NC=1C=CC(Cl)=CC1)S(C)(=O)=O,0.77,c1ccccc1
XS839908b,N#CC1CN(CCN1C2CC2)C(=O)CC3=CC=CO3,5.082,O=C(Cc1ccco1)N1CCN(C2CC2)CC1
XS600746b,ClC=1C=CC(=CC1)C2=NOC(=N2)C3CCCNC3,0.738,c1ccc(-c2noc(C3CCCNC3)n2)cc1
XS843077a,CC=1C=CC(=CN1)CNC(=O)C2COC=3C=CC=CC3C2,2.718,O=C(NCc1cccnc1)C1COc2ccccc2C1
XS843073a,CNC=1N=C(C)C=C(N1)C(=O)NC(C)C2CCOCC2,1.532,O=C(NCC1CCOCC1)c1ccncn1
XS843071a,CCC(C)(NC(=O)C=1C=C(C)N=CN1)C2=NC=CS2,0.708,O=C(NCc1nccs1)c1ccncn1
XS840076b,CC(C1=NN=NN1C)N2C=CC(=CC2=O)C(F)(F)F,11.872,O=c1ccccn1Cc1nnn[nH]1
XS838263b,CC=1CC(C=2C=CC=CC2)N(N1)C=3C=CC(=CC3)[N+]([O-])=O,1.918,C1=NN(c2ccccc2)C(c2ccccc2)C1
XS843080a,COC=1C=CC(C)=CC1S(=O)(=O)NCC2CCCO2,0.784,O=S(=O)(NCC1CCCO1)c1ccccc1
XS843070a,O=C(O)C1CN(CC=2C=CC=CC21)C(=O)C3CCCC3,0.706,O=C(C1CCCC1)N1CCc2ccccc2C1
XS843084a,CC(NC(=O)C1=NNC(=O)C=2C=CC=CC12)C3=CC=CO3,13.382,O=C(NCc1ccco1)c1n[nH]c(=O)c2ccccc12
XS843072a,CC(NC(=O)C=1C=CC=2NC(=O)CCC2C1)C3=CC=CO3,0.42,O=C1CCc2cc(C(=O)NCc3ccco3)ccc2N1
XS716684b,CC=1N=CN(CC(O)COC=2C=CC=CC2)C(=O)C1C,20.718,O=c1ccncn1CCCOc1ccccc1
XS393537b,O=C(O)CC(NC(=O)C1CCCC1)C=2C=CC(F)=CC2,0.422,O=C(NCc1ccccc1)C1CCCC1
XS843082a,CCN(CC(C)C#N)C(=O)CCN1C=CC=2C=CC=CC21,2.352,c1ccc2[nH]ccc2c1
XS843075a,CC(NC(=O)N(C)CC=1C=NN(C)C1)C2=CC=CS2,0.824,O=C(NCc1cn[nH]c1)NCc1cccs1
XS843083a,CC(SCC(=O)NC(N)=O)C=1C(F)=CC=CC1F,3.262,c1ccccc1
XS843081a,CCC(C)(C#N)NC(=O)C=1C=CC=C(C1)S(C)(=O)=O,1.42,c1ccccc1
XS836485b,CCN1C=CN=C(C1=O)N2CCC(O)(C2)C(F)(F)F,1.286,O=c1[nH]ccnc1N1CCCC1
XS838593b,COCC1=NSC(CN2CC(C)C=3C=CC=CC32)=N1,0.652,c1ccc2c(c1)CCN2Cc1ncns1
XS841860b,CC(=CC=1C=CC=CC1)CN2CCOCC2CC(N)=O,0.99,C(=Cc1ccccc1)CN1CCOCC1
XS843079a,CC(C)C1=CC(=NN1)C(=O)NC2CCOC=3C=CC=CC32,2.984,O=C(NC1CCOc2ccccc21)c1cc[nH]n1
XS837307b,CN1CCC(OC(=O)C=2C=NNC2C3=CC=CS3)C1=O,23.592,O=C(OC1CCNC1=O)c1cn[nH]c1-c1cccs1
XS843093a,COCCOC=1C=CC(=CN1)NC(=O)C2CCC(=O)NC2,7.408,O=C1CCC(C(=O)Nc2cccnc2)CN1
XS546353b,CC(NC(=O)NC1=NC(=NS1)C=2C=CC=CC2)C3CC3,3.232,O=C(NCC1CC1)Nc1nc(-c2ccccc2)ns1
XS811069b,COC=1C=CC=CC1NC(=O)NCCN2CCCCC2C,1.492,O=C(NCCN1CCCCC1)Nc1ccccc1
XS843094a,CC(C)OC=1C=CC(=CC1)C=2C=CC(=CC2)C3COC(=O)N3,1.702,O=C1NC(c2ccc(-c3ccccc3)cc2)CO1
XS606153b,CCN(CC)C(CNC(=O)C1=CC=CO1)C=2C=CC=CC2,0.86,O=C(NCCc1ccccc1)c1ccco1
XS758413b,CN1N=CC2=C1CCCC2NC(=O)C3=CC=4C=CC=CC4N3,11.004,O=C(NC1CCCc2[nH]ncc21)c1cc2ccccc2[nH]1
XS599656b,CC(CNC(=O)C=1C=CC2=NC=CN=C2C1)C=3C=CC=CC3,14.5,O=C(NCCc1ccccc1)c1ccc2nccnc2c1
XS672689b,O=C(C=1C=CC=NC1O)N2CCCC2CCC=3C=CC=CC3,1.09,O=C(c1cccnc1)N1CCCC1CCc1ccccc1
XS838415b,CC(C1=CC=CS1)C2=NOC(=N2)C3=CC=NN4C=CN=C34,5.346,c1csc(Cc2noc(-c3ccnn4ccnc34)n2)c1
XS843087a,CC=1C=CC(=CC1S(N)(=O)=O)NC(=O)C2CC=CCC2,1.884,O=C(Nc1ccccc1)C1CC=CCC1
XS840670b,O=C(NC=1C=NNC1)C2CC(=NO2)C3=CC=C(Cl)S3,13.212,O=C(Nc1cn[nH]c1)C1CC(c2cccs2)=NO1
XS746901b,CC1=CSC(=N1)C2COCCN2CC=3C=CC=C(O)C3,2.01,c1ccc(CN2CCOCC2c2nccs2)cc1
XS677064b,CC1=CC=C(O1)C(=O)N2CCCC(O)(CN3C=CN=N3)C2,4.202,O=C(c1ccco1)N1CCCC(Cn2ccnn2)C1
XS840712b,CC1(CCCCC1(F)F)C2=NC(=NO2)N3CCOCC3,2.328,C1CCC(c2nc(N3CCOCC3)no2)CC1
XS843088a,CCOC=1C=CC(Cl)=CC1S(=O)(=O)NCC(C)O,0.848,c1ccccc1
XS843095a,O=C1CCC(N1)C=2C=CC(=CC2)C3=NNC=4C=CC=C(F)C34,2.382,O=C1CCC(c2ccc(-c3n[nH]c4ccccc34)cc2)N1
XS843091a,O=C1NCCCCC1SC2=NC(=CN2)C=3C=CC=CC3,1.33,O=C1NCCCCC1Sc1nc(-c2ccccc2)c[nH]1
XS838057b,CCOC(=O)C1=COC(=N1)NC2COC=3C=C(C#N)C=CC32,2.236,c1ccc2c(c1)OCC2Nc1ncco1
XS843099a,CC1=CC(C)=NN1C2CCCN(C2)C(=O)CC3=CC=CS3,1.55,O=C(Cc1cccs1)N1CCCC(n2cccn2)C1
XS839585b,COC1(CNCC=2C=NC=C(F)C2)CCCS(=O)(=O)C1,2.514,O=S1(=O)CCCC(CNCc2cccnc2)C1
XS843102a,CC(NC(=O)C=1C=CC=CC1)C=2C=CC(=CC2)S(C)(=O)=O,2.932,O=C(NCc1ccccc1)c1ccccc1
XS843103a,CC=1C=CC=C(C1)NC(=O)NC2CCSC=3C=CC=CC32,3.06,O=C(Nc1ccccc1)NC1CCSc2ccccc21
XS683147b,CCN1C=NN=C1CNC(=O)C2=CSC=3CC(C)CCC23,0.744,O=C(NCc1nnc[nH]1)c1csc2c1CCCC2
XS836730b,CNC(=O)NC(=O)C(C)N(C)CC=1C=CC2=CC=CC=C2C1,2.766,c1ccc2ccccc2c1
XS843104a,O=C(NC1CCCCNC1=O)C=2N=CC=CC2C(F)(F)F,3.476,O=C(NC1CCCCNC1=O)c1ccccn1
XS657069b,CC1=NC(=CN1)C(=O)N2CCCC(C2)C3=NOC(=N3)C(C)C,5.434,O=C(c1c[nH]cn1)N1CCCC(c2ncon2)C1
